(llama3-finetune) rajmadras75@Rajeshs-MacBook-Air finetune % python3 finetune_llama.py
4.52.3
/opt/anaconda3/envs/llama3-finetune/lib/python3.11/site-packages/transformers/__init__.py
3.11.11 (main, Dec 11 2024, 10:25:04) [Clang 14.0.6 ]
/opt/anaconda3/envs/llama3-finetune/lib/python3.11/site-packages/transformers/training_args.py:1577: FutureWarning: using `no_cuda` is deprecated and will be removed in version 5.0 of 🤗 Transformers. Use `use_cpu` instead
  warnings.warn(
  0%|                                                                                                                                                  | 0/4220 [00:00<?, ?it/s]`loss_type=None` was set in the config but it is unrecognised.Using the default loss: `ForCausalLMLoss`.
{'loss': 2.9287, 'grad_norm': 3.421931743621826, 'learning_rate': 0.0001995734597156398, 'epoch': 0.0}                                                                          
  5%|██████▊                                                                                                                              | 218/4220 [45:54<15:24:21, 13.86s/it]
{'loss': 1.7163, 'grad_norm': 2.300553560256958, 'learning_rate': 0.00018962085308056874, 'epoch': 0.1}                                                                         
{'loss': 1.6904, 'grad_norm': 1.761936068534851, 'learning_rate': 0.00018914691943127963, 'epoch': 0.11}                                                                        
{'loss': 1.7022, 'grad_norm': 2.173387289047241, 'learning_rate': 0.00018867298578199054, 'epoch': 0.11}                                                                        
{'loss': 1.6989, 'grad_norm': 2.7069320678710938, 'learning_rate': 0.00018819905213270143, 'epoch': 0.12}                                                                       
{'loss': 1.639, 'grad_norm': 2.4273054599761963, 'learning_rate': 0.0001877251184834123, 'epoch': 0.12}                                                                         
{'loss': 1.6092, 'grad_norm': 1.8462392091751099, 'learning_rate': 0.00018725118483412323, 'epoch': 0.13}                                                                       
{'loss': 1.6387, 'grad_norm': 1.9584378004074097, 'learning_rate': 0.00018677725118483414, 'epoch': 0.13}                                                                       
{'loss': 1.6672, 'grad_norm': 2.1295037269592285, 'learning_rate': 0.00018630331753554505, 'epoch': 0.14}                                                                       
{'loss': 1.6114, 'grad_norm': 1.8173823356628418, 'learning_rate': 0.0001858293838862559, 'epoch': 0.14}                                                                        
{'loss': 1.5929, 'grad_norm': 1.7663707733154297, 'learning_rate': 0.00018535545023696683, 'epoch': 0.15}                                                                       
{'loss': 1.684, 'grad_norm': 1.9762537479400635, 'learning_rate': 0.00018488151658767774, 'epoch': 0.15}                                                                        
{'loss': 1.5963, 'grad_norm': 2.05688738822937, 'learning_rate': 0.00018440758293838865, 'epoch': 0.16}                                                                         
{'loss': 1.6733, 'grad_norm': 1.8179552555084229, 'learning_rate': 0.00018393364928909954, 'epoch': 0.16}                                                                       
{'loss': 1.6112, 'grad_norm': 1.832381248474121, 'learning_rate': 0.00018345971563981043, 'epoch': 0.17}                                                                        
{'loss': 1.5986, 'grad_norm': 1.6764442920684814, 'learning_rate': 0.00018298578199052134, 'epoch': 0.17}                                                                       
{'loss': 1.6285, 'grad_norm': 1.8454045057296753, 'learning_rate': 0.00018251184834123222, 'epoch': 0.18}                                                                       
{'loss': 1.5778, 'grad_norm': 1.5535720586776733, 'learning_rate': 0.00018203791469194314, 'epoch': 0.18}                                                                       
{'loss': 1.6222, 'grad_norm': 1.7555079460144043, 'learning_rate': 0.00018156398104265405, 'epoch': 0.18}                                                                       
{'loss': 1.5636, 'grad_norm': 1.4615954160690308, 'learning_rate': 0.00018109004739336494, 'epoch': 0.19}                                                                       
{'loss': 1.5724, 'grad_norm': 1.773681879043579, 'learning_rate': 0.00018061611374407582, 'epoch': 0.19}                                                                        
{'loss': 1.573, 'grad_norm': 1.511504888534546, 'learning_rate': 0.00018014218009478674, 'epoch': 0.2}                                                                          
{'loss': 1.5681, 'grad_norm': 1.8091543912887573, 'learning_rate': 0.00017966824644549765, 'epoch': 0.2}                                                                        
{'loss': 1.549, 'grad_norm': 1.4250974655151367, 'learning_rate': 0.00017919431279620854, 'epoch': 0.21}                                                                        
{'loss': 1.5643, 'grad_norm': 1.838677167892456, 'learning_rate': 0.00017872037914691942, 'epoch': 0.21}                                                                        
{'loss': 1.6063, 'grad_norm': 1.7223427295684814, 'learning_rate': 0.00017824644549763034, 'epoch': 0.22}                                                                       
{'loss': 1.5325, 'grad_norm': 1.4709959030151367, 'learning_rate': 0.00017777251184834125, 'epoch': 0.22}                                                                       
{'loss': 1.5332, 'grad_norm': 1.790246844291687, 'learning_rate': 0.00017729857819905214, 'epoch': 0.23}                                                                        
{'loss': 1.5313, 'grad_norm': 1.7389050722122192, 'learning_rate': 0.00017682464454976305, 'epoch': 0.23}                                                                       
{'loss': 1.5002, 'grad_norm': 1.5654393434524536, 'learning_rate': 0.00017635071090047394, 'epoch': 0.24}                                                                       
{'loss': 1.4994, 'grad_norm': 1.429667592048645, 'learning_rate': 0.00017587677725118482, 'epoch': 0.24}                                                                        
{'loss': 1.5422, 'grad_norm': 1.4110054969787598, 'learning_rate': 0.00017540284360189574, 'epoch': 0.25}                                                                       
{'loss': 1.584, 'grad_norm': 1.4046870470046997, 'learning_rate': 0.00017492890995260665, 'epoch': 0.25}                                                                        
{'loss': 1.5758, 'grad_norm': 1.3635814189910889, 'learning_rate': 0.00017445497630331756, 'epoch': 0.26}                                                                       
{'loss': 1.5293, 'grad_norm': 1.6668705940246582, 'learning_rate': 0.00017398104265402845, 'epoch': 0.26}                                                                       
{'loss': 1.519, 'grad_norm': 1.5320602655410767, 'learning_rate': 0.00017350710900473933, 'epoch': 0.27}                                                                        
{'loss': 1.5384, 'grad_norm': 1.2959303855895996, 'learning_rate': 0.00017303317535545025, 'epoch': 0.27}                                                                       
{'loss': 1.5289, 'grad_norm': 1.3625181913375854, 'learning_rate': 0.00017255924170616116, 'epoch': 0.27}                                                                       
{'loss': 1.5821, 'grad_norm': 1.4427775144577026, 'learning_rate': 0.00017208530805687205, 'epoch': 0.28}                                                                       
{'loss': 1.5041, 'grad_norm': 1.6191494464874268, 'learning_rate': 0.00017161137440758296, 'epoch': 0.28}                                                                       
{'loss': 1.5032, 'grad_norm': 1.7044483423233032, 'learning_rate': 0.00017113744075829385, 'epoch': 0.29}                                                                       
{'loss': 1.491, 'grad_norm': 1.5832360982894897, 'learning_rate': 0.00017066350710900473, 'epoch': 0.29}                                                                        
{'loss': 1.5093, 'grad_norm': 1.5753133296966553, 'learning_rate': 0.00017018957345971565, 'epoch': 0.3}                                                                        
{'loss': 1.497, 'grad_norm': 1.377987265586853, 'learning_rate': 0.00016971563981042656, 'epoch': 0.3}                                                                          
{'loss': 1.4808, 'grad_norm': 1.3257662057876587, 'learning_rate': 0.00016924170616113745, 'epoch': 0.31}                                                                       
{'loss': 1.4647, 'grad_norm': 1.344138264656067, 'learning_rate': 0.00016876777251184833, 'epoch': 0.31}                                                                        
{'loss': 1.5183, 'grad_norm': 1.5810109376907349, 'learning_rate': 0.00016829383886255925, 'epoch': 0.32}                                                                       
{'loss': 1.5139, 'grad_norm': 1.481616497039795, 'learning_rate': 0.00016781990521327016, 'epoch': 0.32}                                                                        
{'loss': 1.4749, 'grad_norm': 1.3289735317230225, 'learning_rate': 0.00016734597156398105, 'epoch': 0.33}                                                                       
{'loss': 1.5302, 'grad_norm': 1.1655932664871216, 'learning_rate': 0.00016687203791469196, 'epoch': 0.33}                                                                       
{'loss': 1.4583, 'grad_norm': 1.2855777740478516, 'learning_rate': 0.00016639810426540285, 'epoch': 0.34}                                                                       
{'loss': 1.4947, 'grad_norm': 1.4571396112442017, 'learning_rate': 0.00016592417061611376, 'epoch': 0.34}                                                                       
{'loss': 1.5479, 'grad_norm': 1.334876537322998, 'learning_rate': 0.00016545023696682464, 'epoch': 0.35}                                                                        
{'loss': 1.4723, 'grad_norm': 1.1166558265686035, 'learning_rate': 0.00016497630331753556, 'epoch': 0.35}                                                                       
{'loss': 1.5166, 'grad_norm': 1.1483064889907837, 'learning_rate': 0.00016450236966824647, 'epoch': 0.36}                                                                       
{'loss': 1.5218, 'grad_norm': 1.2364163398742676, 'learning_rate': 0.00016402843601895733, 'epoch': 0.36}                                                                       
{'loss': 1.3971, 'grad_norm': 1.392250657081604, 'learning_rate': 0.00016355450236966824, 'epoch': 0.37}                                                                        
{'loss': 1.5029, 'grad_norm': 1.3893481492996216, 'learning_rate': 0.00016308056872037916, 'epoch': 0.37}                                                                       
{'loss': 1.4534, 'grad_norm': 1.1649645566940308, 'learning_rate': 0.00016260663507109007, 'epoch': 0.37}                                                                       
{'loss': 1.4464, 'grad_norm': 1.3205115795135498, 'learning_rate': 0.00016213270142180096, 'epoch': 0.38}                                                                       
{'loss': 1.4513, 'grad_norm': 1.3195197582244873, 'learning_rate': 0.00016165876777251184, 'epoch': 0.38}                                                                       
{'loss': 1.4784, 'grad_norm': 1.4417351484298706, 'learning_rate': 0.00016118483412322276, 'epoch': 0.39}                                                                       
{'loss': 1.4789, 'grad_norm': 1.2868140935897827, 'learning_rate': 0.00016071090047393367, 'epoch': 0.39}                                                                       
{'loss': 1.4875, 'grad_norm': 1.0230573415756226, 'learning_rate': 0.00016023696682464456, 'epoch': 0.4}                                                                        
{'loss': 1.4879, 'grad_norm': 1.5054186582565308, 'learning_rate': 0.00015976303317535547, 'epoch': 0.4}                                                                        
{'loss': 1.4501, 'grad_norm': 1.345258355140686, 'learning_rate': 0.00015928909952606636, 'epoch': 0.41}                                                                        
{'loss': 1.486, 'grad_norm': 0.998188853263855, 'learning_rate': 0.00015881516587677724, 'epoch': 0.41}                                                                         
{'loss': 1.4063, 'grad_norm': 1.2225507497787476, 'learning_rate': 0.00015834123222748816, 'epoch': 0.42}                                                                       
{'loss': 1.3963, 'grad_norm': 1.0740712881088257, 'learning_rate': 0.00015786729857819907, 'epoch': 0.42}                                                                       
{'loss': 1.4288, 'grad_norm': 1.1173216104507446, 'learning_rate': 0.00015739336492890998, 'epoch': 0.43}                                                                       
{'loss': 1.5022, 'grad_norm': 1.291370153427124, 'learning_rate': 0.00015691943127962084, 'epoch': 0.43}                                                                        
{'loss': 1.4316, 'grad_norm': 1.4619661569595337, 'learning_rate': 0.00015644549763033175, 'epoch': 0.44}                                                                       
{'loss': 1.4529, 'grad_norm': 1.060787558555603, 'learning_rate': 0.00015597156398104267, 'epoch': 0.44}                                                                        
{'loss': 1.4448, 'grad_norm': 1.0403499603271484, 'learning_rate': 0.00015549763033175355, 'epoch': 0.45}                                                                       
{'loss': 1.5411, 'grad_norm': 1.4081861972808838, 'learning_rate': 0.00015502369668246447, 'epoch': 0.45}                                                                       
{'loss': 1.4451, 'grad_norm': 1.1579712629318237, 'learning_rate': 0.00015454976303317535, 'epoch': 0.46}                                                                       
{'loss': 1.4921, 'grad_norm': 1.1870143413543701, 'learning_rate': 0.00015407582938388627, 'epoch': 0.46}                                                                       
{'loss': 1.426, 'grad_norm': 1.0292054414749146, 'learning_rate': 0.00015360189573459715, 'epoch': 0.46}                                                                        
{'loss': 1.4121, 'grad_norm': 1.056761622428894, 'learning_rate': 0.00015312796208530807, 'epoch': 0.47}                                                                        
{'loss': 1.4327, 'grad_norm': 0.9817178249359131, 'learning_rate': 0.00015265402843601898, 'epoch': 0.47}                                                                       
{'loss': 1.469, 'grad_norm': 1.2746371030807495, 'learning_rate': 0.00015218009478672987, 'epoch': 0.48}                                                                         2 24%|███████████████████████████████▌                                                                                                    | 1011/4220 [3:01:42<50:03:40, 56.16s 24%|███████████████████████████████▏                                                                                                  | 1012/4220 [3:01:57<38:57:36, 43.72s/it]{'loss': 1.3907, 'grad_norm': 1.1822770833969116, 'learning_rate': 0.00015170616113744075, 'epoch': 0.48}                                                                       {'loss': 1.4399, 'grad_norm': 1.159788727760315, 'learning_rate': 0.00015123222748815167, 'epoch': 0.49}                                                                        
{'loss': 1.4275, 'grad_norm': 1.2500685453414917, 'learning_rate': 0.00015075829383886258, 'epoch': 0.49}                                                                       
 25%|████████████████████████████████▎                                                                                                  | 1040/4220 [3:22:38<9:48:48, 11.11s/it]Save strategy: SaveStrategy.STEPS
{'loss': 1.4166, 'grad_norm': 1.2772092819213867, 'learning_rate': 0.00015028436018957347, 'epoch': 0.5}                                                                        
{'loss': 1.4382, 'grad_norm': 1.112673044204712, 'learning_rate': 0.00014981042654028435, 'epoch': 0.5}                                                                         
{'loss': 1.4157, 'grad_norm': 1.071321964263916, 'learning_rate': 0.00014933649289099527, 'epoch': 0.51}                                                                        
{'loss': 1.4348, 'grad_norm': 0.8989908695220947, 'learning_rate': 0.00014886255924170618, 'epoch': 0.51}                                                                       
{'loss': 1.5258, 'grad_norm': 1.0208085775375366, 'learning_rate': 0.00014838862559241707, 'epoch': 0.52}                                                                       
{'loss': 1.4418, 'grad_norm': 0.9803869724273682, 'learning_rate': 0.00014791469194312798, 'epoch': 0.52}                                                                       
{'loss': 1.3962, 'grad_norm': 1.2381247282028198, 'learning_rate': 0.00014744075829383886, 'epoch': 0.53}                                                                       
{'loss': 1.3976, 'grad_norm': 1.1857467889785767, 'learning_rate': 0.00014696682464454975, 'epoch': 0.53}                                                                       
{'loss': 1.3705, 'grad_norm': 1.1429473161697388, 'learning_rate': 0.00014649289099526066, 'epoch': 0.54}                                                                       
{'loss': 1.4466, 'grad_norm': 1.3578615188598633, 'learning_rate': 0.00014601895734597158, 'epoch': 0.54}                                                                       
{'loss': 1.4739, 'grad_norm': 1.154695749282837, 'learning_rate': 0.0001455450236966825, 'epoch': 0.55}                                                                         
{'loss': 1.4436, 'grad_norm': 1.0358588695526123, 'learning_rate': 0.00014507109004739338, 'epoch': 0.55}                                                                       
{'loss': 1.4134, 'grad_norm': 1.207606554031372, 'learning_rate': 0.00014459715639810426, 'epoch': 0.55}                                                                        
{'loss': 1.4543, 'grad_norm': 1.0014381408691406, 'learning_rate': 0.00014412322274881518, 'epoch': 0.56}                                                                       
{'loss': 1.413, 'grad_norm': 1.4200701713562012, 'learning_rate': 0.00014364928909952606, 'epoch': 0.56}                                                                        
{'loss': 1.4131, 'grad_norm': 1.029318928718567, 'learning_rate': 0.00014317535545023698, 'epoch': 0.57}                                                                        
{'loss': 1.4118, 'grad_norm': 1.0306540727615356, 'learning_rate': 0.0001427014218009479, 'epoch': 0.57}                                                                        
{'loss': 1.4149, 'grad_norm': 1.0908334255218506, 'learning_rate': 0.00014222748815165878, 'epoch': 0.58}                                                                       
{'loss': 1.4397, 'grad_norm': 1.1707011461257935, 'learning_rate': 0.00014175355450236966, 'epoch': 0.58}                                                                       
{'loss': 1.4462, 'grad_norm': 1.0161519050598145, 'learning_rate': 0.00014127962085308058, 'epoch': 0.59}                                                                       
{'loss': 1.3997, 'grad_norm': 1.1369463205337524, 'learning_rate': 0.0001408056872037915, 'epoch': 0.59}                                                                        
{'loss': 1.3822, 'grad_norm': 1.0193743705749512, 'learning_rate': 0.00014033175355450238, 'epoch': 0.6}                                                                        
{'loss': 1.4201, 'grad_norm': 1.0603983402252197, 'learning_rate': 0.00013985781990521326, 'epoch': 0.6}                                                                        
{'loss': 1.4085, 'grad_norm': 1.1862519979476929, 'learning_rate': 0.00013938388625592418, 'epoch': 0.61}                                                                       
{'loss': 1.4229, 'grad_norm': 1.0672903060913086, 'learning_rate': 0.0001389099526066351, 'epoch': 0.61}                                                                        
{'loss': 1.3808, 'grad_norm': 1.0443406105041504, 'learning_rate': 0.00013843601895734597, 'epoch': 0.62}                                                                       
{'loss': 1.3596, 'grad_norm': 1.430495023727417, 'learning_rate': 0.0001379620853080569, 'epoch': 0.62}                                                                         
{'loss': 1.4656, 'grad_norm': 1.2040221691131592, 'learning_rate': 0.00013748815165876777, 'epoch': 0.63}                                                                       
{'loss': 1.4063, 'grad_norm': 1.1079683303833008, 'learning_rate': 0.0001370142180094787, 'epoch': 0.63}                                                                        
{'loss': 1.3635, 'grad_norm': 1.2095082998275757, 'learning_rate': 0.00013654028436018957, 'epoch': 0.64}                                                                       
{'loss': 1.422, 'grad_norm': 1.117624044418335, 'learning_rate': 0.0001360663507109005, 'epoch': 0.64}                                                                          
{'loss': 1.4098, 'grad_norm': 1.0814355611801147, 'learning_rate': 0.0001355924170616114, 'epoch': 0.64}                                                                        
{'loss': 1.4294, 'grad_norm': 1.2566721439361572, 'learning_rate': 0.00013511848341232226, 'epoch': 0.65}                                                                       
{'loss': 1.369, 'grad_norm': 0.9498915672302246, 'learning_rate': 0.00013464454976303317, 'epoch': 0.65}                                                                        
{'loss': 1.3777, 'grad_norm': 1.1274359226226807, 'learning_rate': 0.0001341706161137441, 'epoch': 0.66}                                                                        
{'loss': 1.3434, 'grad_norm': 1.1150768995285034, 'learning_rate': 0.000133696682464455, 'epoch': 0.66}                                                                         
{'loss': 1.3802, 'grad_norm': 1.178457260131836, 'learning_rate': 0.00013322274881516589, 'epoch': 0.67}                                                                        
{'loss': 1.434, 'grad_norm': 1.0390191078186035, 'learning_rate': 0.00013274881516587677, 'epoch': 0.67}                                                                        
{'loss': 1.3563, 'grad_norm': 1.3219155073165894, 'learning_rate': 0.00013227488151658769, 'epoch': 0.68}                                                                       
{'loss': 1.3483, 'grad_norm': 1.0971710681915283, 'learning_rate': 0.00013180094786729857, 'epoch': 0.68}                                                                       
{'loss': 1.4086, 'grad_norm': 1.0465248823165894, 'learning_rate': 0.00013132701421800949, 'epoch': 0.69}                                                                       
{'loss': 1.393, 'grad_norm': 0.9394689798355103, 'learning_rate': 0.0001308530805687204, 'epoch': 0.69}                                                                         
{'loss': 1.3796, 'grad_norm': 1.1466639041900635, 'learning_rate': 0.00013037914691943129, 'epoch': 0.7}                                                                        
{'loss': 1.3865, 'grad_norm': 1.0629301071166992, 'learning_rate': 0.00012990521327014217, 'epoch': 0.7}                                                                        
{'loss': 1.3658, 'grad_norm': 1.1623153686523438, 'learning_rate': 0.00012943127962085308, 'epoch': 0.71}                                                                       
{'loss': 1.3658, 'grad_norm': 1.0339909791946411, 'learning_rate': 0.000128957345971564, 'epoch': 0.71}                                                                         
{'loss': 1.397, 'grad_norm': 1.0308971405029297, 'learning_rate': 0.0001284834123222749, 'epoch': 0.72}                                                                         
{'loss': 1.3606, 'grad_norm': 0.9854716062545776, 'learning_rate': 0.00012800947867298577, 'epoch': 0.72}                                                                       
{'loss': 1.425, 'grad_norm': 0.9121963977813721, 'learning_rate': 0.00012753554502369668, 'epoch': 0.73}                                                                        
{'loss': 1.3839, 'grad_norm': 0.956659197807312, 'learning_rate': 0.0001270616113744076, 'epoch': 0.73}                                                                         
{'loss': 1.3841, 'grad_norm': 1.0003719329833984, 'learning_rate': 0.00012658767772511848, 'epoch': 0.73}                                                                       
{'loss': 1.3773, 'grad_norm': 1.160719633102417, 'learning_rate': 0.0001261137440758294, 'epoch': 0.74}                                                                         
{'loss': 1.3953, 'grad_norm': 1.1218879222869873, 'learning_rate': 0.00012563981042654028, 'epoch': 0.74}                                                                       
{'loss': 1.3382, 'grad_norm': 1.0946139097213745, 'learning_rate': 0.0001251658767772512, 'epoch': 0.75}                                                                        
{'loss': 1.3396, 'grad_norm': 0.9937475323677063, 'learning_rate': 0.00012469194312796208, 'epoch': 0.75}                                                                       
{'loss': 1.361, 'grad_norm': 0.9459471702575684, 'learning_rate': 0.000124218009478673, 'epoch': 0.76}                                                                          
{'loss': 1.3984, 'grad_norm': 0.9921103715896606, 'learning_rate': 0.0001237440758293839, 'epoch': 0.76}                                                                        
{'loss': 1.3546, 'grad_norm': 1.0133172273635864, 'learning_rate': 0.0001232701421800948, 'epoch': 0.77}                                                                        
{'loss': 1.3967, 'grad_norm': 1.0580832958221436, 'learning_rate': 0.00012279620853080568, 'epoch': 0.77}                                                                       
{'loss': 1.4225, 'grad_norm': 1.223236322402954, 'learning_rate': 0.0001223222748815166, 'epoch': 0.78}                                                                         
{'loss': 1.4011, 'grad_norm': 0.8508548140525818, 'learning_rate': 0.00012184834123222751, 'epoch': 0.78}                                                                       
{'loss': 1.4297, 'grad_norm': 1.009211778640747, 'learning_rate': 0.00012137440758293838, 'epoch': 0.79}                                                                        
{'loss': 1.3501, 'grad_norm': 0.8883344531059265, 'learning_rate': 0.0001209004739336493, 'epoch': 0.79}                                                                        
{'loss': 1.3749, 'grad_norm': 1.2250620126724243, 'learning_rate': 0.0001204265402843602, 'epoch': 0.8}                                                                         
{'loss': 1.3352, 'grad_norm': 1.205262541770935, 'learning_rate': 0.00011995260663507108, 'epoch': 0.8}                                                                         
{'loss': 1.3604, 'grad_norm': 1.099137544631958, 'learning_rate': 0.000119478672985782, 'epoch': 0.81}                                                                          
{'loss': 1.3679, 'grad_norm': 1.0343488454818726, 'learning_rate': 0.0001190047393364929, 'epoch': 0.81}                                                                        
{'loss': 1.3988, 'grad_norm': 1.3604365587234497, 'learning_rate': 0.00011853080568720381, 'epoch': 0.82}                                                                       
{'loss': 1.3804, 'grad_norm': 0.9551999568939209, 'learning_rate': 0.0001180568720379147, 'epoch': 0.82}                                                                        
{'loss': 1.3705, 'grad_norm': 1.0548985004425049, 'learning_rate': 0.0001175829383886256, 'epoch': 0.82}                                                                        
{'loss': 1.3585, 'grad_norm': 1.0466992855072021, 'learning_rate': 0.00011710900473933651, 'epoch': 0.83}                                                                       
{'loss': 1.3198, 'grad_norm': 1.1533695459365845, 'learning_rate': 0.0001166350710900474, 'epoch': 0.83}                                                                        
{'loss': 1.3609, 'grad_norm': 0.9684370160102844, 'learning_rate': 0.00011616113744075829, 'epoch': 0.84}                                                                       
{'loss': 1.3573, 'grad_norm': 0.9860674142837524, 'learning_rate': 0.0001156872037914692, 'epoch': 0.84}                                                                        
{'loss': 1.3896, 'grad_norm': 0.913658857345581, 'learning_rate': 0.0001152132701421801, 'epoch': 0.85}                                                                         
{'loss': 1.3586, 'grad_norm': 1.2301470041275024, 'learning_rate': 0.00011473933649289099, 'epoch': 0.85}                                                                       
{'loss': 1.3801, 'grad_norm': 1.063854455947876, 'learning_rate': 0.00011426540284360189, 'epoch': 0.86}                                                                        
{'loss': 1.3478, 'grad_norm': 1.1114153861999512, 'learning_rate': 0.0001137914691943128, 'epoch': 0.86}                                                                        
{'loss': 1.3329, 'grad_norm': 0.8669382333755493, 'learning_rate': 0.0001133175355450237, 'epoch': 0.87}                                                                        
{'loss': 1.3528, 'grad_norm': 1.4450353384017944, 'learning_rate': 0.00011284360189573459, 'epoch': 0.87}                                                                       
{'loss': 1.3492, 'grad_norm': 1.0074902772903442, 'learning_rate': 0.0001123696682464455, 'epoch': 0.88}                                                                        
{'loss': 1.3374, 'grad_norm': 1.0721921920776367, 'learning_rate': 0.0001118957345971564, 'epoch': 0.88}                                                                        
{'loss': 1.3845, 'grad_norm': 1.1141762733459473, 'learning_rate': 0.00011142180094786729, 'epoch': 0.89}                                                                       
{'loss': 1.273, 'grad_norm': 0.9754028916358948, 'learning_rate': 0.0001109478672985782, 'epoch': 0.89}                                                                         
{'loss': 1.3896, 'grad_norm': 0.900623619556427, 'learning_rate': 0.0001104739336492891, 'epoch': 0.9}                                                                          
{'loss': 1.3036, 'grad_norm': 1.0019203424453735, 'learning_rate': 0.00011000000000000002, 'epoch': 0.9}                                                                        
{'loss': 1.3345, 'grad_norm': 1.103624939918518, 'learning_rate': 0.0001095260663507109, 'epoch': 0.91}                                                                         
{'loss': 1.3275, 'grad_norm': 0.9709960222244263, 'learning_rate': 0.0001090521327014218, 'epoch': 0.91}                                                                        
{'loss': 1.3617, 'grad_norm': 1.1526256799697876, 'learning_rate': 0.00010857819905213272, 'epoch': 0.92}                                                                       
{'loss': 1.3575, 'grad_norm': 1.154013752937317, 'learning_rate': 0.0001081042654028436, 'epoch': 0.92}                                                                         
{'loss': 1.3292, 'grad_norm': 1.2853448390960693, 'learning_rate': 0.0001076303317535545, 'epoch': 0.92}                                                                        
{'loss': 1.3655, 'grad_norm': 1.1316064596176147, 'learning_rate': 0.00010715639810426542, 'epoch': 0.93}                                                                       
{'loss': 1.353, 'grad_norm': 1.1466128826141357, 'learning_rate': 0.00010668246445497632, 'epoch': 0.93}                                                                        
{'loss': 1.3441, 'grad_norm': 0.8587427735328674, 'learning_rate': 0.0001062085308056872, 'epoch': 0.94}                                                                        
{'loss': 1.3521, 'grad_norm': 0.9023915529251099, 'learning_rate': 0.0001057345971563981, 'epoch': 0.94}                                                                        
{'loss': 1.3606, 'grad_norm': 1.0944405794143677, 'learning_rate': 0.00010526066350710902, 'epoch': 0.95}                                                                       
{'loss': 1.3371, 'grad_norm': 1.024184226989746, 'learning_rate': 0.00010478672985781992, 'epoch': 0.95}                                                                        
{'loss': 1.3563, 'grad_norm': 1.1729036569595337, 'learning_rate': 0.0001043127962085308, 'epoch': 0.96}                                                                        
